fmv:  [341206, 341206, 220000, 260000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 265000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 270000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 300000, 147588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 305000, 142588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 310000, 137588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 315000, 132588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 320000, 127588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 325000, 122588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 330000, 117588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 335000, 112588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 340000, 107588] total loss= 433274.50864077656
fmv:  [341206, 341206, 220000, 345000, 102588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 130000, 312588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 135000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 140000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 145000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 150000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 155000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 160000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 165000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 170000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 175000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 220000, 222588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 225000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 230000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 235000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 240000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 245000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 250000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 255000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 260000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 265000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 300000, 142588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 305000, 137588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 310000, 132588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 315000, 127588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 320000, 122588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 325000, 117588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 330000, 112588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 335000, 107588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 340000, 102588] total loss= 433274.50864077656
fmv:  [341206, 341206, 225000, 345000, 97588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 130000, 307588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 135000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 140000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 145000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 150000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 155000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 160000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 165000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 170000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 220000, 217588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 225000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 230000, 207588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 235000, 202588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 240000, 197588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 245000, 192588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 250000, 187588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 255000, 182588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 260000, 177588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 300000, 137588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 305000, 132588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 310000, 127588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 315000, 122588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 320000, 117588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 325000, 112588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 330000, 107588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 335000, 102588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 340000, 97588] total loss= 433274.50864077656
fmv:  [341206, 341206, 230000, 345000, 92588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 130000, 302588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 135000, 297588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 140000, 292588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 145000, 287588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 150000, 282588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 155000, 277588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 160000, 272588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 165000, 267588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 220000, 212588] total loss= 433274.50864077656
fmv:  [341206, 341206, 235000, 225000, 207588] total loss= 433274.50864077656
